date,adx,ma_slope,volatility_regime,atr_ratio,adx_score,slope_score,regime_score,favorable_regime,position_size_adj,in_season,season,hmm_confidence
2020-02-20 16:00:00,17.119793660689997,0.043569550683431046,1,0.9714726291441789,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 09:30:00,18.616907657802898,0.05071129657334694,1,1.2531709791983765,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 09:35:00,20.616167191307287,0.05249734167145359,1,1.304238776022072,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 09:40:00,22.72405259899071,0.054431885782268985,1,1.3395946613939695,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 09:45:00,26.90613433672283,0.042534395602600306,1,1.4417029511369133,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 09:50:00,30.768938199521717,0.030783873414330643,1,1.4322732626619552,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 09:55:00,35.168532291295065,0.010557102774133575,1,1.4436296975252063,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:00:00,39.62541181729159,-0.00490642116719453,1,1.4821388950521415,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:05:00,44.908552100421936,-0.02215099545682664,1,1.472735079433233,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:10:00,49.999491740013774,-0.043553359554537874,1,1.4774849553849345,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:15:00,54.542593565715336,-0.05633333878334312,1,1.4663461538461537,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:20:00,56.521875451188535,-0.059157965144363,1,1.4407436096049575,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:25:00,58.828016486834564,-0.0643609684170432,1,1.379310344827586,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:30:00,62.80699617284141,-0.07625236709346561,1,1.379185520361991,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:35:00,67.78535115118687,-0.07641043403803227,1,1.3494144380353086,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:40:00,68.65986813308294,-0.08607911845467386,1,1.154239019407559,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:45:00,68.91253676810086,-0.0993154961909326,1,1.1256414500910445,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:50:00,67.06219663204665,-0.10616232129714298,1,1.0847457627118644,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 10:55:00,63.20416445483433,-0.11315867344131592,1,0.948905109489051,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:00:00,58.46715389258872,-0.11718430503609989,1,0.9100860046911649,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:05:00,54.199362521903346,-0.12596631181942541,1,0.8663480807769386,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:10:00,49.806929827270686,-0.13415093020731073,1,0.8294930875576036,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:15:00,44.846203268615014,-0.1401087255609168,1,0.8135072908672293,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:20:00,39.451473851549906,-0.138935787568073,1,0.8113091579594347,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
