seed,profit_loss,win_rate,sharpe_ratio,max_drawdown,num_trades,avg_profit,median_profit,profit_std,largest_win,largest_loss,pct_trend_following,pct_mean_reverting,pct_profit_target,pct_stop_loss,avg_regime_score,run_category
45,6075.50178571439,63.30275229357798,0.1589205449612517,6.306344293653263,109,58.9124017038016,193.18857142857337,385.7939989766485,657.36000000002,-692.5332142857269,32.11009174311927,47.706422018348626,55.96330275229357,33.02752293577982,91.22171717257561,profitable
42,1214.549642857164,59.32203389830508,0.0372616652006376,11.380125015642896,118,13.390759685230645,154.6371428571454,362.50053630923156,604.8128571428477,-681.360357142851,24.576271186440678,52.54237288135594,52.54237288135594,34.74576271186441,93.74455615570184,profitable
29,8407.811785714315,63.63636363636363,0.1961970842123278,9.610827345644706,143,62.33029220779239,215.61142857143116,397.88356507173694,666.1214285714357,-799.0767857143003,23.776223776223777,55.24475524475524,59.44055944055944,30.069930069930066,92.39594537140115,profitable
16,675.9269642857907,57.8125,0.0240894353889295,8.3723903635236,128,8.347632533482358,167.20214285713834,339.58837694620684,570.7028571428641,-645.4992857142798,19.53125,66.40625,53.125,36.71875,86.80960875028886,profitable
11,12646.957857142968,65.92592592592592,0.2629923906130136,5.088470829274962,135,97.57028042328119,243.4685714285688,419.14603648277694,732.7335714285792,-767.6800000000136,37.03703703703704,52.59259259259259,61.48148148148148,27.40740740740741,95.86336038147925,profitable
18,5983.576785714329,63.12056737588653,0.1496106596302859,7.847992270581044,141,45.66437436676831,198.0349999999932,361.1392212636214,618.2614285714362,-673.4299999999845,15.602836879432624,63.829787234042556,60.28368794326241,29.78723404255319,93.63270080575235,profitable
27,7645.565892857237,64.39393939393939,0.1817882271750358,11.230739086953356,132,61.49201433982734,224.3267857142883,396.95751815414377,666.1214285714357,-767.6800000000136,23.484848484848484,65.9090909090909,59.84848484848485,29.545454545454547,93.54577845036634,profitable
20,10231.537857142954,67.6923076923077,0.2388308236661754,4.515745464274531,130,82.19636813186875,227.5374999999966,391.18579240134693,717.1200000000218,-753.0824999999932,22.30769230769231,57.692307692307686,64.61538461538461,27.692307692307693,94.4403698063779,profitable
2,8426.4730357144,64.66165413533834,0.2004084776578112,5.020465768031602,133,66.70641380236378,204.4685714285725,379.6893285777949,687.2400000000209,-705.7150000000023,24.06015037593985,50.37593984962406,60.150375939849624,30.075187969924812,93.54731850940652,profitable
5,6123.249821428559,62.01550387596899,0.1526629879479511,6.474559738443182,129,50.6335645071983,218.8007142857133,401.3581479420509,666.1214285714357,-745.8050000000136,31.782945736434108,47.286821705426355,57.36434108527132,33.33333333333333,93.86042558748296,profitable
4,8271.243035714353,66.16541353383458,0.2066447191545453,8.610784775548337,133,65.61438372717546,218.8007142857133,370.44982223262883,666.1214285714357,-745.8050000000136,24.06015037593985,60.902255639097746,60.902255639097746,27.06766917293233,92.62961219892448,profitable
3,3988.270714285638,60.66666666666667,0.0986058621930547,10.49556427627023,150,30.007271428571002,199.54,360.3534166324036,609.3857142856974,-712.8457142857269,19.333333333333332,68.66666666666667,57.99999999999999,32.0,91.6275381431042,profitable
39,3150.447321428539,60.13986013986013,0.0778077814968127,12.35012394597002,143,25.27830294705243,205.53499999999545,398.076472736997,658.2642857142935,-745.8050000000136,30.76923076923077,49.65034965034965,54.54545454545454,34.96503496503497,92.8351582012302,profitable
37,5007.2026785714115,61.111111111111114,0.1251242420919324,6.808711726850334,144,38.07397693452359,177.04000000000002,346.9261301208467,618.2614285714362,-622.8903571428486,22.22222222222222,58.333333333333336,56.94444444444444,34.02777777777778,88.95084241375605,profitable
30,7617.746428571409,64.0,0.1904013017363178,6.267371003065065,150,54.00397619047603,187.16785714285894,334.9462674601922,666.1214285714357,-670.8049999999909,17.333333333333336,73.33333333333333,60.66666666666667,30.666666666666664,84.46576276475547,profitable
31,9257.686250000035,65.16129032258064,0.2158581542648849,5.507409339596036,155,63.1357822580649,209.7571428571445,350.4914367412484,687.2400000000209,-653.3485714285724,28.387096774193548,56.12903225806451,60.0,28.387096774193548,90.42505737975624,profitable
36,9732.396785714423,66.4179104477612,0.2325102320503228,7.982356032633872,134,76.04542377398832,217.32035714285894,384.9713646430287,687.2400000000209,-745.8050000000136,28.35820895522388,52.98507462686567,61.19402985074627,27.611940298507463,94.18977182603402,profitable
38,5351.228392857171,60.416666666666664,0.122589408134454,7.853630261448702,144,40.653183283730556,195.8157142857156,383.64679890737665,627.4800000000191,-717.221428571422,30.555555555555557,52.77777777777778,55.55555555555556,33.33333333333333,93.01179726276759,profitable
25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,114,110.4815617167924,247.7416071428446,403.54659440724873,747.0000000000227,-799.0767857143003,35.08771929824561,50.0,61.40350877192983,27.192982456140353,92.83422248863788,profitable
22,8032.930535714309,62.5,0.1862690960443452,6.6411629206345,144,59.46111483134939,216.22357142857112,378.7016391100338,666.1214285714357,-717.221428571422,27.083333333333332,59.02777777777778,58.333333333333336,30.555555555555557,90.69115044085298,profitable
14,10726.668750000032,64.55696202531645,0.2325764191175623,5.647498369251599,158,71.44980221518979,199.50499999999136,370.73031440741585,685.5085714285871,-681.360357142851,18.9873417721519,66.45569620253164,62.0253164556962,29.746835443037973,88.23284413999488,profitable
13,9007.631250000137,64.39393939393939,0.198545939435891,7.274098927957477,132,71.91160037878875,222.7946428571463,411.42022444447707,666.1214285714357,-745.8050000000136,40.909090909090914,45.45454545454545,58.333333333333336,29.545454545454547,94.85592025582707,profitable
47,7388.309107142908,64.39393939393939,0.1672948020124592,8.808267888365576,132,59.618781114718615,243.87678571428899,397.73285393526504,666.1214285714357,-681.360357142851,21.96969696969697,65.9090909090909,59.84848484848485,31.060606060606062,97.35645397981807,profitable
40,3398.9971428572608,61.06194690265486,0.0875161929914924,9.173328581083611,113,33.48165613147995,178.52,401.4340792281345,608.4171428571467,-718.7196428571331,33.6283185840708,46.017699115044245,55.75221238938053,32.743362831858406,96.18284302420649,profitable
49,5053.745178571589,59.354838709677416,0.1125101926083196,9.217196430869008,155,35.96583986175219,198.15,383.3795308805155,627.4800000000191,-707.2774999999955,30.32258064516129,56.774193548387096,56.12903225806451,36.12903225806451,91.16238125997299,profitable
12,6660.719642857162,61.224489795918366,0.1459034118625448,9.619412277151254,147,48.91033770651108,216.2742857142935,397.9071100984447,657.36000000002,-717.221428571422,32.6530612244898,51.02040816326531,57.14285714285714,33.33333333333333,95.06170701644768,profitable
15,7124.617857143065,65.21739130434783,0.1685770834750333,5.065100875588406,138,55.139984472050884,215.57321428571217,385.44020480180814,658.2599999999754,-745.8050000000136,18.115942028985508,61.59420289855072,61.59420289855072,30.434782608695656,95.77275534884147,profitable
23,6708.907678571544,62.601626016260155,0.1567661808027905,7.648122526295465,123,57.98225754936206,218.0471428571513,397.43712484766957,657.36000000002,-707.2774999999955,37.39837398373984,44.71544715447154,57.72357723577236,31.70731707317073,96.90505151093424,profitable
24,3444.546785714432,60.130718954248366,0.0872568886816462,7.564953205488776,153,25.78292016806796,193.83142857143025,352.4463049104238,599.5092857142921,-681.360357142851,19.607843137254903,62.091503267973856,56.86274509803921,33.98692810457516,87.6601419603185,profitable
48,9177.875535714418,66.15384615384615,0.2218152457192796,7.245540225252334,130,74.19373489011045,218.04142857142435,386.6734085530482,685.5085714285871,-753.0824999999932,20.0,56.15384615384615,61.53846153846154,30.0,91.01591433582045,profitable
41,6861.503928571445,64.42953020134227,0.154676611675301,8.566499795201516,149,49.49459012464057,205.53499999999545,380.25521783714527,657.36000000002,-745.8050000000136,24.161073825503358,55.70469798657718,61.74496644295302,32.88590604026846,93.91887286957186,profitable
46,65.58267857140163,59.70149253731343,0.0073862397324081,9.724458333251444,134,3.4521841684428933,170.3835714285709,319.9708057865925,550.3200000000019,-596.8778571428574,8.208955223880597,56.71641791044776,56.71641791044776,35.07462686567165,89.29375797900535,profitable
6,3482.160357142893,60.83916083916085,0.0887567158000604,10.925649919367885,143,27.605736763236823,195.61142857143116,376.31701607187904,609.3857142856974,-745.8050000000136,23.076923076923077,53.14685314685315,56.64335664335665,34.26573426573427,90.92275638930835,profitable
1,6809.769642857078,61.53846153846154,0.1835106784042582,4.136824529738208,117,61.31811660561643,163.32571428571376,355.43860150229204,666.1214285714357,-717.221428571422,23.931623931623932,57.26495726495726,56.41025641025641,29.914529914529915,85.58932108320522,profitable
8,7436.423035714404,64.70588235294117,0.1693103507013862,5.67139998884003,136,58.00958114495868,206.7210714285643,400.7595626668484,666.1214285714357,-745.8050000000136,31.61764705882353,49.26470588235294,60.29411764705882,30.14705882352941,91.60153269746276,profitable
9,3804.64910714297,61.0062893081761,0.0864243809978428,9.078002013968884,159,27.442447214735274,198.67285714285325,365.47833792127676,603.7028571428477,-670.8049999999909,23.89937106918239,69.81132075471697,57.861635220125784,33.9622641509434,89.3541028596649,profitable
7,6257.1075000000565,63.35403726708074,0.1423327625381011,6.935549221624675,161,42.35029503105589,209.6164285714198,365.4374401581191,642.6642857143004,-717.221428571422,17.391304347826086,70.80745341614907,60.24844720496895,31.05590062111801,90.30509397757847,profitable
