entry_time,exit_time,entry_price,exit_price,profit,type,num_contracts,stop_loss,profit_target,bars_held,atr,rsi,volume,avg_volume,entry_account_value,exit_reason,fees,exit_account_value,adx,ma_slope,volatility_regime,regime_score,favorable_regime,position_size_adj,market_type,in_season,season,used_trailing_stop,used_dynamic_target,highest_price_reached,lowest_price_reached,seed,run_profit_loss,run_win_rate,run_sharpe,run_max_dd,profit_pct,holding_time,trade_result
2020-04-24 09:35:00,2020-04-24 09:45:00,2803.5,2790.3,393.7799999999945,short,6,2816.3,2790.3,2,8.0,44.14062499903442,18405,9902.6,39029.89607142856,profit_target,2.22,39423.67607142855,14.688439981444985,-0.1877454705292991,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2788.0,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,1.0089189048296165,0.16666666666666666,win
2020-04-24 09:50:00,2020-04-24 11:00:00,2788.5,2788.25,5.28,short,6,2802.042857142857,2774.5339285714285,14,8.464285714285714,42.481203006624455,15395,10757.6,39421.45607142855,time_exit,2.22,39426.736071428546,12.911455907074998,-0.1884037324595744,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2785.0,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,0.013393721404995949,1.1666666666666667,win
2020-04-24 15:15:00,2020-04-24 15:35:00,2820.5,2829.7714285714287,551.8457142857228,long,12,2809.964285714286,2829.7714285714287,4,4.214285714285714,60.76923076661302,7584,4726.8,39422.296071428544,profit_target,4.4399999999999995,39974.141785714266,71.89988449491418,0.1783174550990196,1,100.0,True,1.5,trend_following,1,Q2,False,True,2830.25,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,1.3998314894846398,0.3333333333333333,win
2020-04-24 15:50:00,2020-04-27 09:30:00,2833.0,2843.135714285714,553.3942857142771,long,11,2821.4821428571427,2843.135714285714,3,4.607142857142857,68.14814814532126,7273,5109.5,39970.071785714266,profit_target,4.07,40523.46607142854,56.2998732170384,0.2671830659122909,1,100.0,True,1.5,neutral,1,Q2,False,True,2852.25,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,1.3845216207794406,65.66666666666667,win
2020-04-28 10:25:00,2020-04-28 10:50:00,2885.25,2869.0,-326.48,long,4,2869.0,2892.6785714285716,5,9.285714285714286,53.43749999906485,17378,10164.85,40521.98607142854,stop_loss,1.48,40195.506071428536,38.24976228897528,0.1998264802316463,1,78.23092840765206,True,1.2,neutral,1,Q2,False,True,2887.5,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-0.8056860772433765,0.4166666666666667,loss
2020-04-28 15:25:00,2020-04-28 15:30:00,2871.25,2874.9785714285713,164.45571428570784,long,9,2863.09375,2874.9785714285713,1,4.660714285714286,31.395348835164953,16291,6839.95,40192.176071428534,profit_target,3.33,40356.63178571424,25.26343965166322,0.0238636462606356,1,78.23092840765206,True,1.2,neutral,1,Q2,False,True,2875.0,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,0.4091734520505714,0.08333333333333333,win
2020-04-29 15:00:00,2020-04-29 15:20:00,2938.25,2943.5214285714287,155.92285714286143,long,6,2926.71875,2943.5214285714287,4,6.589285714285714,53.086419751251334,10110,7624.85,40354.41178571424,profit_target,2.22,40510.3346428571,26.31086783312573,0.1162445334343731,1,78.23092840765206,True,1.2,neutral,1,Q2,False,True,2945.5,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,0.38638366969843746,0.3333333333333333,win
2020-05-01 15:35:00,2020-05-01 16:00:00,2819.75,2826.7785714285715,-319.615714285716,short,9,2826.7785714285715,2812.5017857142857,5,4.392857142857143,43.2432432410616,10893,7031.55,40507.0046428571,stop_loss,3.33,40187.38892857138,27.580938430208416,-0.1476077456898927,1,78.23092840765206,True,1.2,neutral,1,Q2,False,True,,2812.75,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-0.7890381357587649,0.4166666666666667,loss
2020-05-04 09:35:00,2020-05-04 09:55:00,2796.75,2804.6964285714284,236.17285714285325,long,6,2779.2678571428573,2804.6964285714284,4,7.946428571428571,32.167832167202306,20750,9405.5,40185.16892857138,profit_target,2.22,40421.341785714234,23.902977113398464,-0.1033021241609977,1,99.81560621735665,True,1.5,mean_reverting,1,Q2,False,True,2805.0,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,0.5877114951604345,0.3333333333333333,win
2020-05-04 15:15:00,2020-05-04 15:30:00,2824.25,2830.7357142857145,-426.3814285714421,short,13,2830.7357142857145,2817.561607142857,3,4.053571428571429,73.50427350075535,8232,5060.65,40416.53178571424,stop_loss,4.81,39990.1503571428,44.539924052692,0.0735037623959655,1,99.81560621735665,True,1.5,mean_reverting,1,Q2,False,True,,2824.25,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-1.0549678800548448,0.25,loss
2020-05-05 09:35:00,2020-05-05 10:00:00,2869.25,2881.135714285714,-418.5899999999945,short,7,2881.135714285714,2856.9928571428572,5,7.428571428571429,82.09459459304145,21033,8045.3,39987.5603571428,stop_loss,2.59,39568.9703571428,66.67007449926301,0.1908006693138064,1,99.81560621735665,True,1.5,mean_reverting,1,Q2,False,True,,2865.75,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-1.0468005456232432,0.4166666666666667,loss
2020-05-05 15:25:00,2020-05-05 15:30:00,2877.0,2868.9857142857145,-566.1799999999854,long,14,2868.9857142857145,2880.6428571428573,1,3.642857142857143,30.76923076775806,9940,4583.8,39563.7903571428,stop_loss,5.18,38997.61035714282,27.88260508273384,0.0454494201729716,1,99.81560621735665,True,1.5,mean_reverting,1,Q2,False,True,2877.0,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-1.431056010784285,0.08333333333333333,loss
2020-05-05 15:35:00,2020-05-06 09:30:00,2864.75,2869.5714285714284,237.3714285714221,long,10,2854.1428571428573,2869.5714285714284,6,4.821428571428571,22.36024844642722,18654,6085.1,38993.91035714282,profit_target,3.7,39231.28178571424,30.557541832588235,0.0043362501843002,1,99.81560621735665,True,1.5,mean_reverting,1,Q2,False,True,2881.75,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,0.6087397401218595,17.916666666666668,win
