number,value,datetime_start,datetime_complete,duration,params_hmm_detector.lookback_days,params_hmm_detector.min_samples,params_hmm_detector.retrain_frequency,params_market_type.mean_reverting.min_regime_score,params_market_type.neutral.min_regime_score,params_market_type.trend_following.min_regime_score,params_position_sizing.max_size_adjustment,params_position_sizing.min_size_adjustment,params_risk.atr_stop_multiplier,params_risk.dynamic_target_atr_multiplier,params_risk.max_bars_held,params_risk.risk_per_trade,params_risk.trailing_stop_atr_multiplier,user_attrs_max_drawdown,user_attrs_profit_loss,user_attrs_trade_count,user_attrs_win_rate,state
33,0.2663676265263613,2025-03-30 00:52:14.501928,2025-03-30 00:52:19.635917,0 days 00:00:05.133989,25,250,9,37.5,47.5,65.0,1.5,0.7,2.0,1.1,14,0.008,1.2,4.407828054466428,2211.7900000000154,33,66.66666666666666,COMPLETE
34,0.2000626335765564,2025-03-30 00:52:19.636198,2025-03-30 00:52:29.663090,0 days 00:00:10.026892,25,300,5,42.5,52.5,67.5,1.5,0.8,2.3,1.3,16,0.011,1.6,3.801047767607,2191.849107142916,32,65.625,COMPLETE
35,-0.08730785736102438,2025-03-30 00:52:29.663351,2025-03-30 00:52:36.164577,0 days 00:00:06.501226,20,200,11,40.0,50.0,70.0,2.0,0.8,1.6,1.0,14,0.009000000000000001,1.1,2.976529209311055,-828.6001785714107,14,50.0,COMPLETE
36,0.23990349586265572,2025-03-30 00:52:36.164842,2025-03-30 00:52:46.635347,0 days 00:00:10.470505,30,275,5,47.5,45.0,80.0,1.6,0.8,1.8,0.9,18,0.01,1.5,4.82416874999999,2582.98196428574,36,63.888888888888886,COMPLETE
37,0.15389049747246647,2025-03-30 00:52:46.635615,2025-03-30 00:52:58.434254,0 days 00:00:11.798639,25,225,7,45.0,50.0,72.5,1.9,0.9,2.2,0.8,16,0.007,1.7000000000000002,3.317950691745656,1168.8460714285538,35,68.57142857142857,COMPLETE
38,0.2647122212350625,2025-03-30 00:52:58.434596,2025-03-30 00:53:03.155434,0 days 00:00:04.720838,20,250,9,37.5,52.5,65.0,1.5,0.7,1.7,2.0,6,0.008,1.3,3.912333835203192,2229.1153571428586,32,59.375,COMPLETE
39,0.15278902302258204,2025-03-30 00:53:03.155702,2025-03-30 00:53:13.748074,0 days 00:00:10.592372,30,200,7,35.0,55.0,77.5,1.7000000000000002,0.8,1.9,1.7000000000000002,12,0.009000000000000001,1.2,4.019418863696722,1304.2382142857314,23,60.86956521739131,COMPLETE
40,-0.1323360570159574,2025-03-30 00:53:13.748366,2025-03-30 00:53:24.477757,0 days 00:00:10.729391,35,225,5,50.0,57.5,75.0,1.4,0.9,1.6,1.2000000000000002,10,0.01,1.9,8.459831310147557,-1608.7955357143364,44,50.0,COMPLETE
41,0.30712629477590425,2025-03-30 00:53:24.478019,2025-03-30 00:53:33.785169,0 days 00:00:09.307150,30,250,7,40.0,47.5,65.0,1.5,0.8,1.7,1.1,14,0.008,1.0,4.022707916360511,2511.3964285714246,34,67.64705882352942,COMPLETE
42,0.31706887096401115,2025-03-30 00:53:33.785418,2025-03-30 00:53:43.742597,0 days 00:00:09.957179,30,250,7,40.0,47.5,65.0,1.6,0.8,1.7,1.1,14,0.007,1.0,3.353530664193586,2395.2223214285696,34,67.64705882352942,COMPLETE
43,0.08301880594711848,2025-03-30 00:53:43.742909,2025-03-30 00:53:53.642250,0 days 00:00:09.899341,35,275,7,42.5,45.0,67.5,1.6,0.8,1.7,0.8,14,0.007,1.0,4.748281547527384,621.0417857142311,43,60.46511627906976,COMPLETE
44,0.23941020987681866,2025-03-30 00:53:53.642510,2025-03-30 00:53:58.861096,0 days 00:00:05.218586,25,250,9,40.0,47.5,65.0,1.7000000000000002,0.6,1.6,1.3,16,0.006,1.0,2.8802452614977403,1647.9407142857308,33,63.63636363636363,COMPLETE
45,0.2961209996317011,2025-03-30 00:53:58.861719,2025-03-30 00:54:10.099561,0 days 00:00:11.237842,30,150,5,37.5,47.5,67.5,1.8,0.7,1.5,1.1,12,0.007,1.1,3.4567437500000047,2418.9101785714447,34,64.70588235294117,COMPLETE
46,-0.3063042477344666,2025-03-30 00:54:10.099856,2025-03-30 00:54:22.955970,0 days 00:00:12.856114,35,150,5,40.0,47.5,65.0,1.8,0.7,2.0,1.2000000000000002,10,0.006,1.1,4.217062500000048,-1629.7558928571598,28,50.0,COMPLETE
47,-0.18348555092154395,2025-03-30 00:54:22.956254,2025-03-30 00:54:34.381830,0 days 00:00:11.425576,40,150,5,45.0,45.0,67.5,1.9,0.7,1.9,1.1,8,0.007,1.0,5.775441071428541,-1259.0257142856863,36,52.77777777777778,COMPLETE
48,0.34043500862054127,2025-03-30 00:54:34.382135,2025-03-30 00:54:46.598715,0 days 00:00:12.216580,30,175,5,37.5,47.5,65.0,1.8,0.7,1.7,1.9000000000000001,12,0.015,2.3,6.55850471674047,6263.197142857171,31,64.51612903225806,COMPLETE
49,0.09207442737563983,2025-03-30 00:54:46.599137,2025-03-30 00:54:58.589176,0 days 00:00:11.990039,30,175,5,35.0,47.5,65.0,1.8,0.6,2.7,1.9000000000000001,12,0.015,2.3,7.733341940642166,1141.141071428574,30,56.666666666666664,COMPLETE
50,0.06932253244239554,2025-03-30 00:54:58.589485,2025-03-30 00:55:11.023868,0 days 00:00:12.434383,30,150,5,37.5,45.0,67.5,2.0,0.7,1.5,1.8,12,0.015,2.5,16.49814906793278,1252.3146428570908,38,52.63157894736842,COMPLETE
51,0.2554137577111677,2025-03-30 00:55:11.024180,2025-03-30 00:55:22.834043,0 days 00:00:11.809863,30,175,5,37.5,47.5,65.0,1.9,0.7,1.7,1.9000000000000001,8,0.014,2.1,6.967555917419268,4622.1642857143015,31,61.29032258064516,COMPLETE
52,0.3398263111095407,2025-03-30 00:55:22.834323,2025-03-30 00:55:34.553624,0 days 00:00:11.719301,30,175,7,37.5,47.5,65.0,1.8,0.6,1.7,1.6,10,0.013000000000000001,2.3,3.52059464285725,4473.203750000001,24,70.83333333333334,COMPLETE
53,0.2271079659994496,2025-03-30 00:55:34.553906,2025-03-30 00:55:47.237878,0 days 00:00:12.683972,30,175,7,37.5,47.5,65.0,1.8,0.5,1.6,1.6,10,0.013000000000000001,2.3,6.2362616071428425,3530.406071428639,33,60.60606060606061,COMPLETE
54,0.08720310746447316,2025-03-30 00:55:47.238224,2025-03-30 00:55:59.225621,0 days 00:00:11.987397,35,150,5,35.0,47.5,67.5,1.8,0.6,1.7,1.7000000000000002,10,0.015,2.4000000000000004,9.19940344021536,1292.695714285699,31,61.29032258064516,COMPLETE
55,0.1764916121102381,2025-03-30 00:55:59.225873,2025-03-30 00:56:11.163961,0 days 00:00:11.938088,30,200,7,37.5,45.0,65.0,2.0,0.6,1.6,1.6,12,0.013000000000000001,2.2,7.743204059950928,2709.5717857143245,35,57.14285714285714,COMPLETE
56,0.25033702195783686,2025-03-30 00:56:11.164207,2025-03-30 00:56:23.235004,0 days 00:00:12.070797,30,175,7,35.0,47.5,65.0,1.9,0.6,1.8,1.8,10,0.014,2.2,6.8270718784970565,4604.4375,35,60.0,COMPLETE
57,0.3382291895689316,2025-03-30 00:56:23.235292,2025-03-30 00:56:35.365385,0 days 00:00:12.130093,30,175,5,37.5,47.5,70.0,1.8,0.5,3.0,1.7000000000000002,12,0.015,2.0,4.392359002915364,5846.950535714321,33,66.66666666666666,COMPLETE
58,0.10109464197675058,2025-03-30 00:56:35.365657,2025-03-30 00:56:47.814018,0 days 00:00:12.448361,30,150,5,37.5,47.5,70.0,1.7000000000000002,0.5,3.0,2.0,12,0.014,2.0,14.691825024935165,1920.3892857143437,42,59.523809523809526,COMPLETE
59,0.17126297398044227,2025-03-30 00:56:47.814273,2025-03-30 00:57:00.123529,0 days 00:00:12.309256,30,175,5,37.5,50.0,67.5,1.8,0.5,2.5,1.7000000000000002,12,0.015,2.4000000000000004,8.040439597200887,2964.7153571428644,34,58.82352941176471,COMPLETE
60,0.09238854448288614,2025-03-30 00:57:00.123799,2025-03-30 00:57:12.475826,0 days 00:00:12.352027,30,200,5,40.0,45.0,67.5,1.0,0.5,1.5,1.9000000000000001,14,0.007,2.0,2.1327023630566195,421.18678571427154,22,59.09090909090909,COMPLETE
61,-0.019608108753362507,2025-03-30 00:57:12.476095,2025-03-30 00:57:25.501373,0 days 00:00:13.025278,30,175,7,47.5,47.5,65.0,1.8,0.6,2.7,1.8,8,0.015,1.8,11.46677707405681,-768.5521428570792,38,57.89473684210527,COMPLETE
62,-0.15115428528756172,2025-03-30 00:57:25.501648,2025-03-30 00:57:38.336336,0 days 00:00:12.834688,35,175,7,37.5,47.5,70.0,1.9,0.7,1.8,1.6,10,0.014,2.4000000000000004,12.341588538581378,-3540.3830357142215,45,51.11111111111111,COMPLETE
63,0.26301484615126663,2025-03-30 00:57:38.336609,2025-03-30 00:57:43.231750,0 days 00:00:04.895141,30,150,15,35.0,47.5,67.5,1.9,0.5,2.8,1.5,6,0.015,2.1,10.397402760377732,5199.204285714339,31,67.74193548387096,COMPLETE
64,-0.03850246865062247,2025-03-30 00:57:43.232133,2025-03-30 00:57:56.096387,0 days 00:00:12.864254,35,200,7,40.0,50.0,70.0,1.7000000000000002,0.7,2.5,1.7000000000000002,12,0.015,1.9,9.678622093955209,-1048.6189285713772,45,55.55555555555556,COMPLETE
65,0.34269347957970947,2025-03-30 00:57:56.096676,2025-03-30 00:58:11.034113,0 days 00:00:14.937437,40,175,5,50.0,60.0,65.0,1.2,0.7,1.7,1.8,14,0.013000000000000001,2.3,3.578708854590317,4765.14714285716,35,62.857142857142854,COMPLETE
66,0.29627515979174385,2025-03-30 00:58:11.034528,2025-03-30 00:58:25.689494,0 days 00:00:14.654966,40,175,5,40.0,60.0,65.0,1.1,0.7,1.6,1.8,14,0.012,2.3,4.163861604329433,3316.77696428576,32,62.5,COMPLETE
67,0.2433910368371033,2025-03-30 00:58:25.689935,2025-03-30 00:58:38.309362,0 days 00:00:12.619427,40,175,5,40.0,60.0,65.0,1.1,0.7,1.6,1.8,14,0.012,2.3,4.231764629980092,2592.9041071428946,31,61.29032258064516,COMPLETE
68,0.23357776706693312,2025-03-30 00:58:38.309634,2025-03-30 00:58:50.822265,0 days 00:00:12.512631,40,200,5,42.5,60.0,65.0,1.1,0.7,1.9,1.9000000000000001,14,0.013000000000000001,2.2,5.636195084062616,2869.721428571509,32,62.5,COMPLETE
69,0.46871565854066627,2025-03-30 00:58:50.823170,2025-03-30 00:59:03.588796,0 days 00:00:12.765626,40,175,5,42.5,60.0,65.0,1.2,0.6,1.7,1.9000000000000001,14,0.012,2.1,3.922524481338372,6269.875714285714,36,63.888888888888886,COMPLETE
70,0.07050687366670366,2025-03-30 00:59:03.589076,2025-03-30 00:59:17.842176,0 days 00:00:14.253100,40,175,5,42.5,57.5,65.0,1.3,0.6,1.7,2.0,14,0.013000000000000001,2.1,7.1845692059493,812.2571428570664,35,54.285714285714285,COMPLETE
71,0.2433299718557994,2025-03-30 00:59:17.842452,2025-03-30 00:59:31.887216,0 days 00:00:14.044764,40,175,5,50.0,60.0,65.0,1.2,0.5,1.7,1.9000000000000001,14,0.011,2.3,6.073217494841397,3120.748928571411,40,60.0,COMPLETE
72,0.09264961372097417,2025-03-30 00:59:31.887579,2025-03-30 00:59:46.290347,0 days 00:00:14.402768,40,175,5,40.0,60.0,65.0,1.2,0.6,1.8,1.8,14,0.012,2.2,5.635133188631946,886.2271428571694,25,56.00000000000001,COMPLETE
73,0.13620755859509792,2025-03-30 00:59:46.290635,2025-03-30 00:59:59.332198,0 days 00:00:13.041563,40,175,5,42.5,60.0,65.0,1.0,0.7,1.7,1.8,14,0.012,2.4000000000000004,6.672456475824608,1584.548749999958,39,58.97435897435898,COMPLETE
74,0.44610830264142953,2025-03-30 00:59:59.332579,2025-03-30 01:00:13.185736,0 days 00:00:13.853157,40,175,5,45.0,60.0,65.0,1.2,0.6,1.6,1.9000000000000001,14,0.011,2.5,3.5085728628859627,4817.371071428584,33,66.66666666666666,COMPLETE
